Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2019,5,May,May-2019,837,0,7,,
B02480,WOODHAVEN LIMOUSINE INC,,2018,1,January,January-2018,76,0,12,,
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2019,3,March,March-2019,2193,0,10,,
B00346,MERRICK C/S INC,,2015,4,April,April-2015,977,0,8,,
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2021,3,March,March-2021,15673,0,127,,
B00095,LIBERTY CAR SERVICE INC.,,2020,10,October,October-2020,994,0,6,,
B02339,SEDANZ INC.,,2016,6,June,June-2016,277,0,8,,
B00900,BIG Q CAR SVC. INC.,,2019,2,February,February-2019,37255,0,147,,
b01013,AMERICANA TRANSPORTATION LLC,,2015,12,December,December-2015,2007,0,9,,
B03309,NYC LIMOUSINE VIP LLC.,NYC LIMOUSINE VVVIP LLC.,2022,3,March,March-2022,1359,0,111,,
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2017,2,February,February-2017,1100,0,17,,
B01124,COOPERATIVA CLBNA DE CON INC,,2017,6,June,June-2017,5759,0,42,,
B02379,THE OPTION TRANSPORTATION CORP.,,2021,2,February,February-2021,337,0,7,,
B01768,NEW SUPERIOR RADIO GRP CORP,,2019,1,January,January-2019,3938,0,31,,
B02273,BENI'S LIMOUSINE SERVICE INC,,2019,4,April,April-2019,25,0,4,,
B03124,MARR LIMO LLC,,2018,11,November,November-2018,376,0,4,,
B00053,CHARGE AND RIDE INC,,2019,4,April,April-2019,771,0,40,,
B02285,"VALERA GLOBAL, INC.",,2021,4,April,April-2021,1515,0,31,,
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2018,3,March,March-2018,8601,0,120,,
B02832,NYC FLY WHEELS INC.,,2020,12,December,December-2020,456,0,5,,
b00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2016,3,March,March-2016,10869,0,56,,
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2017,1,January,January-2017,1726,0,7,,
B01263,"RACHEL'S CAR SERVICE,INC.",,2018,7,July,July-2018,2591,0,11,,
B00472,FARRELL'S LEASING CO.,,2016,2,February,February-2016,1219,0,55,,
B02406,MY SEDAN LLC,,2020,2,February,February-2020,351,0,7,,
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2020,2,February,February-2020,1505,0,12,,
B02727,OSCAR LIMOUSINE INC,,2018,9,September,September-2018,250,0,5,,
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2017,7,July,July-2017,1133,0,10,,
B00608,SUMMIT CORPORATE CAR INC.,,2018,11,November,November-2018,1388,0,35,,
B02245,OCEANA CAR AND LIMO,,2018,2,February,February-2018,3696,0,14,,
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2016,3,March,March-2016,1242,0,7,,
B03064,AP LUXURY LIMOUSINE INC,,2021,7,July,July-2021,48,0,4,,
B03139,MJ LUXURY INC.,,2022,1,January,January-2022,230,0,2,,
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2017,2,February,February-2017,8029,0,92,,
B00277,ALL CITY CORP TRANS INC,,2019,7,July,July-2019,1201,0,35,,
B02811,M.L TRIPS CORP.,,2016,8,August,August-2016,639,0,29,,
B01559,MUNKACS CAR SVC LTD,,2016,10,October,October-2016,3547,0,18,,
B02688,KJ TRANSPORTATION,,2017,2,February,February-2017,3218,0,41,,
B01536,FIRST CLASS C/L SVC CORP,,2019,10,October,October-2019,15354,0,97,,
B01432,TOVAR TRANSPORTATION INC,,2021,3,March,March-2021,1665,0,10,,
B02406,MY SEDAN LLC,,2016,12,December,December-2016,40,0,14,,
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2016,6,June,June-2016,1770,0,15,,
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2019,4,April,April-2019,15759,0,103,,
